full_name,class,a,e,i,q,H,neo,pha,diameter,albedo,diameter_sigma,orbit_id,n,per,moid
       (2012 XB112),APO,1.029,0.1446,1.32,0.88,29.9,Y,N,0.0025,,0,JPL 22,0.9445,381,0.000649
       (2010 FD6),APO,1.446,0.4352,0.46,0.817,26.8,Y,N,0.008,0.497,0,JPL 9,0.5666,635,0.00275
       (2010 GH7),APO,1.401,0.2999,3.52,0.981,27.35,Y,N,0.008,0.326,0,JPL 17,0.5945,606,0.00215
       (2016 TM56),APO,1.119,0.1308,2.35,0.973,26.9,Y,N,0.008,0.467,0,JPL 24,0.8325,432,0.00982
       (2010 KV7),APO,1.214,0.2185,0.31,0.949,26,Y,N,0.013,0.397,0,JPL 7,0.7368,489,0.00125
       (2010 FR9),APO,1.579,0.3816,5.71,0.976,26.1,Y,N,0.015,0.287,0,JPL 12,0.4968,725,0.0159
       (2010 FT),APO,1.09,0.1947,5.6,0.878,25.7,Y,N,0.018,0.294,0,JPL 12,0.866,416,0.012
       (2010 TN4),APO,1.725,0.4349,3.03,0.974,27.5,Y,N,0.018,0.062,0.01,JPL 10,0.4352,827,0.0096
       (2016 TB11),APO,1.799,0.4988,9.25,0.902,25.23,Y,N,0.018,0.459,0.01,JPL 4,0.4086,881,0.0257
       (2010 DL),APO,1.353,0.3138,2.57,0.928,27,Y,N,0.019,0.08,0,JPL 8,0.6265,575,0.0186
       (2014 FD),APO,1.878,0.4803,6.19,0.976,25.5,Y,N,0.022,0.223,0,JPL 10,0.3829,940,0.0114
       (2010 FS),ATE,0.78,0.3175,9.12,0.532,24.2,Y,N,0.023,0.548,0,JPL 12,1.431,252,0.00869
       (2010 FW9),APO,1.642,0.4326,3.77,0.931,26.7,Y,N,0.024,0.075,0,JPL 12,0.4686,768,0.00206
       (2010 YD),APO,2.041,0.5382,0.44,0.942,26.6,Y,N,0.026,0.06,0.01,JPL 14,0.338,1060,0.00161
       (2002 JR100),ATE,0.9237,0.2989,3.71,0.648,24.3,Y,N,0.028,0.441,0,JPL 29,1.11,324,0.0189
       (1998 KY26),APO,1.229,0.2,1.49,0.983,25.7,Y,N,0.03,,,JPL 36,0.7235,498,0.00219
       (2010 FX9),APO,1.132,0.3672,3.78,0.716,24.06,Y,N,0.03,0.425,0,JPL 27,0.8184,440,0.0142
       (2016 JW28),APO,2.082,0.5792,0.92,0.876,25.5,Y,N,0.031,0.123,0.01,JPL 7,0.328,1100,0.00416
       (2010 HA),ATE,0.9596,0.1957,2.18,0.772,23.9,Y,N,0.032,0.482,0,JPL 17,1.049,343,0.0334
       (2010 JJ3),APO,2.23,0.5801,2.43,0.936,23.7,Y,N,0.032,0.609,0,JPL 21,0.296,1220,0.0191
       (2010 CO44),APO,1.07,0.2307,6.18,0.823,24.6,Y,N,0.034,0.218,0.01,JPL 12,0.89,404,0.0277
       (2016 DO2),APO,1.564,0.5186,1.41,0.753,23.7,Y,N,0.034,0.532,0.01,JPL 8,0.504,714,0.00222
       (2010 JO71),APO,1.172,0.3867,6.01,0.719,23.98,Y,N,0.037,0.349,0,JPL 14,0.7771,463,0.0462
       (2010 QG2),APO,1.667,0.516,4.7,0.807,24.67,Y,N,0.038,0.228,0.01,JPL 14,0.4578,786,0.00115
       (2010 JH3),APO,1.759,0.4708,19.78,0.931,25.31,Y,N,0.039,0.087,0.01,JPL 10,0.4226,852,0.0185
       (2010 JW39),APO,1.637,0.39,3,0.999,24.63,Y,N,0.039,0.187,0.01,JPL 11,0.4704,765,0.024
       (2010 EX11),ATE,0.9566,0.1096,9.75,0.852,24.11,Y,N,0.04,0.234,0.01,JPL 30,1.053,342,0.0301
       (2014 QT295),APO,1.793,0.5273,0.83,0.848,25.9,Y,N,0.041,0.046,0.01,JPL 9,0.4104,877,0.0114
       (2010 MY1),APO,1.215,0.2114,9.7,0.958,23.88,Y,N,0.043,0.265,0,JPL 14,0.736,489,0.0155
       (2010 UC7),APO,1.885,0.5677,5.18,0.815,24.68,Y,N,0.043,0.129,0.01,JPL 13,0.3807,946,0.00426
